community,area_num,psych_distress_count,psych_distress_count_moe,psych_distress_rate,psych_distress_rate_moe
ROGERS PARK,1.0,7300.0,3398.8723424460004,17.175378928,7.1236505723145
NORWOOD PARK,10.0,1700.0,1421.0400948285499,5.869389009,4.739661113936
JEFFERSON PARK,11.0,1300.0,753.6732034709499,5.210042634,3.1446979460155
FOREST GLEN,12.0,600.0,325.14061340285,4.1883017813,2.4478224710135
ALBANY PARK,14.0,6000.0,3999.0807041710004,13.10642455,8.0084084721165
PORTAGE PARK,15.0,3600.0,2204.3592932025,6.3262382096,3.8487507149245
IRVING PARK,16.0,4600.0,2238.508151047,12.104626792,5.7845782642305
DUNNING,17.0,3600.0,2467.3307059764998,10.11176799,6.7479792712324995
BELMONT CRAGIN,19.0,2600.0,1958.7979521075001,5.708544114,4.256309816745
WEST RIDGE,2.0,5000.0,2846.614947372,9.020650535,4.9670286518895
HERMOSA,20.0,2000.0,1450.5986903058001,9.9784652429,6.9385684649015
AVONDALE,21.0,3800.0,2806.912979955,11.593744456,7.936063791582501
LOGAN SQUARE,22.0,6100.0,2962.983279774,11.145831728,5.1184520441775
HUMBOLDT PARK,23.0,2400.0,1608.0586078886,7.2481256796,4.8709558007845
WEST TOWN,24.0,9500.0,4609.2405399495,12.819263821,5.6752576935005
AUSTIN,25.0,12500.0,7626.2291809095,17.237041494,9.373861076853
WEST GARFIELD PARK,26.0,700.0,473.28129817325004,4.3120272824,3.221378316037
EAST GARFIELD PARK,27.0,1600.0,1204.8609112484,10.731359082,7.600192814770501
UPTOWN,3.0,7000.0,2951.679607989,14.029263832,5.467721096082
SOUTH LAWNDALE,30.0,6700.0,5017.2991132845,12.662381274,8.800840208016501
LOWER WEST SIDE,31.0,2600.0,2097.019252958,9.0728965051,7.140552927739
LOOP,32.0,3900.0,2609.7008730065004,10.134345736,6.404561827146
NEAR SOUTH SIDE,33.0,1800.0,1277.20532701965,8.9868171854,6.119201940355
ARMOUR SQUARE,34.0,800.0,714.8856041222,8.9551214494,7.263426116212
DOUGLAS,35.0,600.0,439.03250583849996,3.1206833675,2.456924135764
FULLER PARK,37.0,2900.0,2031.189816999,27.763914112,15.678928567386
GRAND BOULEVARD,38.0,1800.0,1154.54720643885,13.669205735,8.198406076245
KENWOOD,39.0,900.0,644.39004155435,6.3710351032,4.730036056739
LINCOLN SQUARE,4.0,3500.0,1939.6534771460001,10.243905206,5.444041550724
WASHINGTON PARK,40.0,600.0,356.89056495085,8.964725244,4.9398530650175
HYDE PARK,41.0,800.0,565.9508879027501,3.7617825578,2.8492133164985
SOUTH SHORE,43.0,6100.0,4471.2571233715,20.483867005,12.6707731814615
CHATHAM,44.0,4200.0,2608.933164831,16.643711446,9.3748735472105
NORTH CENTER,5.0,2400.0,1712.5960075455002,8.0174822411,5.3578378820540005
SOUTH DEERING,51.0,4800.0,4424.558296833499,30.850125536,21.220608607835
RIVERDALE,54.0,3100.0,2518.937570471,19.276291335,14.754523019053998
ARCHER HEIGHTS,57.0,2300.0,1600.7826401370999,12.23849059,8.1123811126435
BRIGHTON PARK,58.0,900.0,609.42575309735,3.1933470531,2.303575919106
MCKINLEY PARK,59.0,1600.0,1068.67593702975,10.063059044,6.749694307107501
LAKE VIEW,6.0,11600.0,3154.313436386,12.670440469,3.1988214198465
WEST ELSDON,62.0,2900.0,2420.6600971105,13.754186704,10.323463905118
GAGE PARK,63.0,4100.0,2209.2810950385,15.119680109,7.6801630155215
CLEARING,64.0,1500.0,1030.33568393245,9.1984352853,6.041768503974001
WEST LAWN,65.0,1800.0,1156.5421615016498,7.9886277129,5.117035377909
WEST ENGLEWOOD,67.0,1600.0,1075.40959430835,7.9237198962,5.3416896018674995
ENGLEWOOD,68.0,2700.0,2303.460817469,14.432066233,11.279084504954001
GREATER GRAND CROSSING,69.0,3200.0,2054.4087922960002,12.843758517,7.8058184786925
LINCOLN PARK,7.0,4300.0,2320.070899657,7.8466652062,4.0319296409035
AUBURN GRESHAM,71.0,4000.0,2983.3938270115,13.459885481,9.197714469944
OHARE,76.0,1000.0,634.9912776473,9.4786552558,6.174253321509
EDGEWATER,77.0,4900.0,2050.422381875,8.8409254082,3.5639237732595004
NEAR NORTH SIDE,8.0,6000.0,3378.8761667605004,7.715047881,4.08774439829
